anime_id,Name,English name,Score,Genres,Synopsis,Type,Episodes,Aired,Premiered,Status,Studios,Source,Duration,Rating,Image URL
197,Kuro no Danshou,Mystery of the Necronomicon,5.62,"Horror, Hentai","While vacationing with his adopted daughter, Private Detective Susuki becomes trapped in a secluded ski resort with a few other vacationers after a storm closes the place down. All is well until one of the guests is found brutally murdered. Being the good investigator he is, Susuki gets to work to find the killer. While digging for the killer, Susuki uncovers a lot of dirt on the other guests and even finds out a thing or two about his own past. But, as Susuki struggles to find the killer, the other guests start to point the finger at him. 

(Source: AniDB)",OVA,4,"Oct 29, 1999 to Sep 25, 2000",UNKNOWN,Finished Airing,JOF,Visual novel,31 min per ep,Rx - Hentai,https://cdn.myanimelist.net/images/anime/10/29841.jpg
198,Mezzo Forte,UNKNOWN,6.62,"Action, Comedy, Sci-Fi, Hentai","For some individuals, baseball is more than just a game. Momokitchi Momoi, an underworld boss and the owner of a professional team known as the ""Peach Twisters,"" seems to be the perfect example. There is only one punishment for players who have let him down: death. Terrible as he may sound, there is someone even more wicked than himâ€”his daughter, Momomi.

The three members of the Danger Service Agencyâ€”Mikura Suzuki, Tomohisa Harada, and Kenichi Kurokawaâ€”are tasked with kidnapping Momokitchi and taking down his criminal empire. Surrounded by armed bodyguards, he is bound to be a risky target. However, born with a gun in hand, Mikura is used to dancing with danger. The only unknown quantity is Momomi, reputed to be a cold-blooded killer with a twisted mind. Should she stand in the DSA's way, Suzuki might finally find herself a worthy opponent.",OVA,2,"May 25, 2000 to Jun 25, 2001",UNKNOWN,Finished Airing,Arms,Original,30 min per ep,Rx - Hentai,https://cdn.myanimelist.net/images/anime/6/37391.jpg
199,Mezzo DSA,UNKNOWN,6.65,"Action, Adventure, Comedy, Mystery, Sci-Fi","Mikura, Kurokawa, and Harada are the 3 members of the Danger Service Agency (DSA). Mikura is the brawns of the group, Harada is the brains, and Kurokawa is just a bitter ex-cop that likes to think he's in charge. They'll take on any job as long as it involves lots of danger and, of course, money. If you want to live long enough to eat dinner, you better not cross them. Their biggest case, however, could prove to be finding out why someone wants Kurokawa assassinated. 

(Source: ANN)",TV,13,"Jan 4, 2004 to Mar 28, 2004",winter 2004,Finished Airing,Arms,Original,25 min per ep,R+ - Mild Nudity,https://cdn.myanimelist.net/images/anime/9/3235.jpg
200,Dragon Ball,Dragon Ball,7.96,"Action, Adventure, Comedy, Fantasy","Gokuu Son is a young boy who lives in the woods all aloneâ€”that is, until a girl named Bulma runs into him in her search for a set of magical objects called the ""Dragon Balls."" Since the artifacts are said to grant one wish to whoever collects all seven, Bulma hopes to gather them and wish for a perfect boyfriend. Gokuu happens to be in possession of a dragon ball, but unfortunately for Bulma, he refuses to part ways with it, so she makes him a deal: he can tag along on her journey if he lets her borrow the dragon ball's power. With that, the two set off on the journey of a lifetime.

They don't go on the journey alone. On the way, they meet the old Muten-Roshi and wannabe disciple Kuririn, with whom Gokuu trains to become a stronger martial artist for the upcoming World Martial Arts Tournament. However, it's not all fun and games; the ability to make any wish come true is a powerful one, and there are others who would do much worse than just wishing for a boyfriend. To stop those who would try to abuse the legendary power, they train to become stronger fighters, using their newfound strength to help the people around them along the way.",TV,153,"Feb 26, 1986 to Apr 12, 1989",winter 1986,Finished Airing,Toei Animation,Manga,24 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1887/92364.jpg
201,Dragon Ball GT,Dragon Ball GT,6.48,"Action, Adventure, Comedy, Fantasy","Emperor Pilaf finally has his hands on the Black Star Dragon Balls after years of searching, which are said to be twice as powerful as Earth's normal ones. Pilaf is about to make his wish for world domination when he is interrupted by Gokuu Son. As a result, Pilaf flubs his wish and accidentally turns Gokuu back into a child.

After the wish is granted, the Black Star Dragon Balls scatter across the galaxy. However, Gokuu discovers that they will cause the Earth to explode unless they are all brought back within a year. Uniting with his granddaughter Pan and a young adult Trunks, Gokuu sets off on an adventure through the universe to find the Black Star Dragon Balls and save his planet from destruction.",TV,64,"Feb 7, 1996 to Nov 19, 1997",winter 1996,Finished Airing,Toei Animation,Manga,24 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1262/93119.jpg
202,Elfen Lied,Elfen Lied,7.48,"Action, Drama, Horror, Romance, Supernatural","Lucy is a special breed of human referred to as ""Diclonius,"" born with a short pair of horns and invisible telekinetic hands that lands her as a victim of inhumane scientific experimentation by the government. However, once circumstances present her an opportunity to escape, Lucy, corrupted by the confinement and torture, unleashes a torrent of bloodshed as she escapes her captors.

During her breakout, she receives a crippling head injury that leaves her with a split personality: someone with the mentality of a harmless child possessing limited speech capacity. In this state of instability, she stumbles upon two college students, Kouta and his cousin Yuka, who unknowingly take an injured fugitive into their care, unaware of her murderous tendencies. This act of kindness will change their lives, as they soon find themselves dragged into the shadowy world of government secrecy and conspiracy.",TV,13,"Jul 25, 2004 to Oct 17, 2004",summer 2004,Finished Airing,Arms,Manga,25 min per ep,R+ - Mild Nudity,https://cdn.myanimelist.net/images/anime/1780/121555.jpg
203,FLCL,FLCL,8.03,"Action, Avant Garde, Comedy, Sci-Fi","Naota Nandaba is an ordinary sixth grader living in a city where nothing amazing ever seems to happen. After his brother Tasuku leaves town to play baseball in America, Naota takes it upon himself to look after everything Tasuku left behindâ€”from his top bunk bed to his ex-girlfriend Mamimi Samejima, who hasn't stopped clinging to Naota since Tasuku left. 

Little does Naota know, however, that his mundane existence is on the verge of being changed forever: enter Haruko Haruhara, a Vespa-riding, bass guitar-wielding, pink-haired psychopath whose first encounter with Naota leaves him with tire tracks on his back and a giant horn on his head. Though all he wants is some peace and quiet, when Haruko takes up residence at his parents' home, Naota finds himself dragged into the heart of the greatest battle for supremacy that Earthâ€”and quite possibly the entire universeâ€”has ever seen.",OVA,6,"Apr 26, 2000 to Mar 16, 2001",UNKNOWN,Finished Airing,"Gainax, Production I.G",Original,25 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/7/77356.jpg
204,Jigoku Shoujo,Hell Girl,7.61,"Horror, Mystery, Supernatural","It is said that if someone seeks revenge, they should dig two gravesâ€”and this is especially true of those who use the Hell Correspondence website. At the stroke of midnight, this ominous web domain becomes accessible, and whoever inputs the name of their grudge will get a visit from Ai Enma, the Hell Girl. Ai explains that she will send the target's soul to hell, but the requester will also end up in hell when they die.

For some, that price is far too steep; for others, where they will spend their afterlife has no bearing on their current, day-to-day hell. But one thing is certain: the Hell Girl will always be available to those in need of revenge, while she stoically performs her duty of ferrying souls into the darkness.",TV,26,"Oct 5, 2005 to Apr 5, 2006",fall 2005,Finished Airing,Studio Deen,Original,25 min per ep,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/4/86907.jpg
205,Ninin ga Shinobuden,Ninja Nonsense,6.89,Comedy,"Kaede is a normal school girl who was studying for her exams for school when suddenly she is interrupted by Shinobu, a girl who is a ninja-in-training, attempting to complete her exam. The problem is, in order for her to successfully complete her exam, she must steal one of Kaede's panties!

In Kaede's attempt to stop Shinobu from stealing her panties, an unexpected friendship is forged between the two. Kaede soon becomes engrossed in Shinobu's world, surrounded by partying ninjas and a yellow pac-man like thing by the name of Onsokumaru, who claims to be the master of all ninjas!",TV,12,"Jul 10, 2004 to Sep 25, 2004",summer 2004,Finished Airing,ufotable,Manga,24 min per ep,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/8/6591.jpg
206,Air Master,Air Master,6.97,"Action, Comedy","A former gymnast, Aikawa Maki has turned her skills to a different way of lifeâ€”street fighting. The only thing that truly makes her feel alive is violence. With amazing power and grace, she fights opponent after opponent, repeatedly demonstrating the gymnastic talent that earns her her nom de guerre, ""Airmaster.""",TV,27,"Apr 2, 2003 to Oct 1, 2003",spring 2003,Finished Airing,Toei Animation,Manga,24 min per ep,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/2/21019.jpg
207,Asagiri no Miko,Shrine of the Morning Mist,6.1,"Action, Comedy, Fantasy, Supernatural","Since childhood, Tadahiro Amatsu has two different-colored eyes - one brown and one light hazel. But because of a dark secret behind his left eye, he's become a target for the masked sorcerer Ayatara Miramune and his band of demons. To combat the demons appearing all over town, Yuzu Hieda, a priestess in training, recruits four other girls from her high school. Under the supervision of Yuzu's elder sister Kurako, the five young priestesses must undergo months of training to master their abilities.

(Source: ANN)",TV,26,"Jul 4, 2002 to Dec 26, 2002",summer 2002,Finished Airing,"Chaos Project, GANSIS",Manga,12 min per ep,PG - Children,https://cdn.myanimelist.net/images/anime/3/75196.jpg
208,Cardcaptor Sakura,Cardcaptor Sakura,8.16,"Adventure, Comedy, Drama, Fantasy, Romance","Ten-year-old Sakura Kinomoto is an ordinary fourth-grade student living in Tomoeda until, one day, she stumbles upon a mysterious book of cards titled ""The Clow."" Pondering over her discovery, she unintentionally causes a magical gust of wind to scatter the cards all over town.

The accident awakens the Beast of the Sealâ€”Keroberos, nicknamed ""Kero""â€”who tells Sakura that she has released the mystical ""Clow Cards"" created by the sorcerer Clow Reed. Due to each Card's ability to act independently and their incredible power, Clow had sealed them away. Now that they have been set free, the Cards pose great danger to the world, and it is up to Sakura to put an end to them.

Appointing Sakura as the ""Cardcaptor"" and granting her the Sealed Key, Kero tasks her with finding and recapturing all the Clow Cards. Alongside her best friend Tomoyo Daidouji, and with Kero's guidance, Sakura must learn to balance her new secret duty with the everyday troubles as she takes flight on her magical adventures as Cardcaptor Sakura.",TV,70,"Apr 7, 1998 to Mar 21, 2000",spring 1998,Finished Airing,Madhouse,Manga,25 min per ep,PG - Children,https://cdn.myanimelist.net/images/anime/8/60781.jpg
209,Daa! Daa! Daa!,UNKNOWN,7.66,"Comedy, Sci-Fi","Miyu is an 8th grade girl, whose parents have been hired by NASA. They take off to America leaving Miyu with Mr. Saionji. Later, Mr. Saionji decides to go on a 1 year long trip to India leaving Miyu alone with his son, Kanata. More complications rise when an Alien baby and his babysitter pet crashes/lands in their house. To make things worse, alien baby starts calling Miyu and Kanata Mom and Dad, also showing ESP power and floating around. 

(Source: ANN)",TV,78,"Mar 28, 2000 to Feb 26, 2002",spring 2000,Finished Airing,J.C.Staff,Manga,25 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/3/21166.jpg
210,Dan Doh!!,UNKNOWN,6.63,"Adventure, Sports","Dandoh was playing a baseball game with friends Yuka and Kohei and hits a wild fly ball which crashes into the principal's potted plants. Rather than getting mad, the principal admires Dandoh's swing and introduces him to the world of golf. It's now an adventure in golf as Dandoh is under the watchful eye of a former pro-golfer. They enter a tournament together and play for a shot at the national championships.

(Source: ANN)",TV,26,"Apr 3, 2004 to Sep 25, 2004",spring 2004,Finished Airing,Tokyo Kids,Manga,24 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/3/15231.jpg
211,Detective Conan,Case Closed,8.17,"Adventure, Comedy, Mystery","Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child.

Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa.

Detective Conan follows Shinichi who, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday.",TV,UNKNOWN,"Jan 8, 1996 to ?",winter 1996,Currently Airing,TMS Entertainment,Manga,25 min,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/7/75199.jpg
212,E's Otherwise,E's Otherwise,6.59,"Adventure, Comedy, Drama, Sci-Fi, Supernatural","Kai, who has powers different from the rest, together with his sickly sister Hikaru was protected by an organization called ASHURUM. Scouted by Eiji, Kai was delegated to the ASHURUM special force AESES and undergo intensive training. Whenever he was free, Kai visited Hikaru at the hospital belongs to the organization, but Hikaru's condition never improved. So, one year later, with amazing growth from the intensive training, Kai decides to escape from the organization.

(Source: ANN)",TV,26,"Apr 1, 2003 to Sep 23, 2003",spring 2003,Finished Airing,Pierrot,Manga,23 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/2/6260.jpg
213,Koukyoushihen Eureka Seven,Eureka Seven,8.06,"Adventure, Drama, Romance, Sci-Fi","In the backwater town of Bellforest lives a 14-year-old boy named Renton Thurston. He desires to leave his home behind and join the mercenary group known as Gekkostate, hoping to find some adventure to brighten up his mundane life. However, stuck between his grandfather's insistence to become a mechanic like him and the pressure of his deceased father's legacy, the only excitement Renton finds is in his pastime of riding the Trapar wave particles that are dispersed throughout the air, an activity akin to surfing.

Everything changes when an unknown object crashes through Renton's garage, discovered to be a Light Finding Operationâ€”a robot capable of riding the Trapar wavesâ€”specifically known as the Nirvash typeZERO. Its pilot is a young girl named Eureka, a member of the Gekkostate, who requests a tune-up for the Nirvash. Their meeting sparks the beginning of Renton's involvement with the Gekkostate as he takes off alongside Eureka as the co-pilot of the Nirvash.",TV,50,"Apr 17, 2005 to Apr 2, 2006",spring 2005,Finished Airing,Bones,Original,24 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/12/34443.jpg
214,Rekka no Honoo,Flame of Recca,7.34,"Action, Adventure","Most people think that ninjas are a thing of the past, but Rekka Hanabishi wishes otherwise. Although he comes from a family that makes fireworks, he likes to think of himself as a self-styled, modern-day ninja. Sounds like fun, right? Maybe not. Rekka ends up in lots of fights because he once made the bold announcement that if someone can defeat him, he will become their servant.

Then one day, Rekka meets Yanagi Sakoshita, a gentle girl with the ability to heal any wound or injury. Their meeting sets off a chain of events, which culminate into a shocking discovery. Rekka is the last surviving member of a legendary ninja clan that was wiped out centuries ago. Even more astonishing than being an actual ninja, he also wields the power to control fire. What does this mean for Rekka? Who are these strange people after him and Yanagi? Find out in Rekka no Honoo!",TV,42,"Jul 19, 1997 to Jul 10, 1998",summer 1997,Finished Airing,Pierrot,Manga,23 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1646/113504.jpg
215,Gankutsuou,Gankutsuou: The Count of Monte Cristo,8.14,"Award Winning, Drama, Mystery, Sci-Fi, Supernatural, Suspense","In the year 5053, French aristocrats Viscount Albert de Morcerf and Baron Franz d'Epinay attend the festival of Carnival on the moon city of Luna. While Franz is just looking to have fun, Albert is seeking something more to fill his lifeâ€”but he finds more than he bargained for in The Count of Monte Cristo, a mysterious and charming self-made nobleman who meets his gaze during an opera performance.
 
Through a few twists and turns, Albert befriends the Count and introduces him into French society. The Count, however, has more on his mind than just friendship; he plots to finally unleash his vengeance on those who wronged him years earlier. Gankutsuou follows Albert and the Count's intertwined destinies and the ultimate price paid for enacting revenge.",TV,24,"Oct 6, 2004 to Mar 30, 2005",fall 2004,Finished Airing,Gonzo,Novel,24 min per ep,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/10/2235.jpg
216,Genshiken,Genshiken,7.63,"Comedy, Slice of Life","Kanji Sasahara is an introverted college freshman just looking for a place to fit in. One day, he happens to stumble upon the club known as the Society for the Study of Modern Visual Cultureâ€”otherwise known as Genshikenâ€”that serves to bring the full spectrum of otaku culture together. His first visit to the club, however, does not end well as Sasahara's pride is crushed by his senior, Harunobu Madarame, and he leaves the meeting in full denial of his otaku nature. However, after befriending club member Makoto Kousaka, who turns out to be a hardcore otaku despite his looks, Sasahara becomes more involved with club activities which include obsessing over their favorite anime, reading doujinshi, and attending conventions. There, he meets other interesting people like Kousaka's vehemently non-otaku girlfriend Saki Kasukabe, who strives to turn her boyfriend into a ""normal guy.""

While Saki struggles to understand otaku culture and her boyfriend's love for it, Sasahara finds himself enjoying his time at Genshiken, gradually shedding any denial he once had about being an otaku and immersing himself in an otaku lifestyle.",TV,12,"Oct 11, 2004 to Dec 27, 2004",fall 2004,Finished Airing,Palm Studio,Manga,25 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1890/94707.jpg
217,Girls Bravo: First Season,Girls Bravo,6.38,"Comedy, Fantasy, Romance, Ecchi","Small for his age, Yukinari has been bullied and abused by girls all his life. Now in high school, he has developed a rare condition: whenever girls touch him, or even come close, he breaks out in hives. Imagine his surprise, when he is suddenly transported to the city of Seiren on a mystic world invisibly orbiting the Earth, and populated with vast numbers of women and very few men. Fortunately, he has a new friend, Miharu-chan, whose touch inexplicably doesn't affect him.

(Source: ANN)",TV,11,"Jul 5, 2004 to Sep 27, 2004",summer 2004,Finished Airing,AIC Spirits,Manga,23 min per ep,R+ - Mild Nudity,https://cdn.myanimelist.net/images/anime/12/48027.jpg
218,Gokusen,The Gokusen,7.41,"Comedy, Drama, Slice of Life","Kumiko Yamaguchi is smart, enthusiastic, and ready to start her dream job as a math teacher at Shirokin Academy. But as her first day opens on atrocious students and cowering teachers, Kumiko realizes that the all-boys high school is a cesspool of delinquents with no intention of improving themselves.

However, what her rowdy students don't know is that behind her dorky facade, Kumiko is the acting head of a powerful yakuza clan, and she has the skills to prove it! Capable of overpowering even the strongest of gangsters in seconds, Kumiko must keep her incredible strength and criminal influence a secret in order to keep her job. Unfortunately, with the vice principal constantly trying to get her fired and Shin Sawada, the leader of her class of delinquents, suspecting she's stronger than she lets on, Kumiko has a difficult teaching career ahead of her.",TV,13,"Jan 7, 2004 to Mar 31, 2004",winter 2004,Finished Airing,Madhouse,Manga,23 min per ep,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/6/25273.jpg
219,Gravitation,Gravitation,6.93,"Boys Love, Comedy","All Shuichi ever dreamed about was following in the footsteps of his pop idol, Ryuichi Sakuma and the band Nittle Grasper. Together with his best friend Hiro, Shuichi's formed a band called Bad Luck and they've even managed to get signed to a major recording label! Unfortunately, the studio deadlines are looming and Shuichi still hasn't finished the lyrics for any of the songs. What he needs is a little inspiration... but he's been running a little low in that department lately. While Hiro recommends finding a girlfriend, fate has other things in store for him...

Walking through the park late one night, Shuichi's latest lyrics flutter away and land at the feet of a stunning stranger that takes his breath away. Unfortunately, that mysterious stranger happens to be the famous novelist Eiri Yuki, who completely crushes the young singer by telling him he has ""zero talent"". Now, Shuichi's so annoyed that he's managed to finish his song just so he can find and confront Yuki once again. But, are his actions really motivated by anger, or has he actually fallen in love? 

(Source: RightStuf)",TV,13,"Oct 4, 2000 to Jan 10, 2001",fall 2000,Finished Airing,Studio Deen,Manga,22 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/4/21856.jpg
220,Agatha Christie no Meitantei Poirot to Marple,Agatha Christie's Great Detectives Poirot and Marple,6.83,Mystery,"Young Mabel West is the daughter of mystery writer Raymond West, who wants her to lead a normal life. Rebelling against this, Mabel wants to be a great detective, and sets out for London to become assistant to none other than Hercule Poirot, the great Belgian detective who resides there. She finally wins the reluctant approval of her father, and embarks on an exciting life of mystery and suspenseâ€”his only demand being that she occasionally spend some time with her great-aunt, Jane Marple, in the small village of St. Mary Mead.",TV,39,"Jul 4, 2004 to May 15, 2005",summer 2004,Finished Airing,OLM,Novel,25 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/6/3149.jpg
221,Great Teacher Onizuka,Great Teacher Onizuka,8.69,Comedy,"Twenty-two-year-old Eikichi Onizukaâ€”ex-biker gang leader, conqueror of Shonan, and virginâ€”has a dream: to become the greatest high school teacher in all of Japan. This isn't because of a passion for teaching, but because he wants a loving teenage wife when he's old and gray. Still, for a perverted, greedy, and lazy delinquent, there is more to Onizuka than meets the eye. So when he lands a job as the homeroom teacher of the Class 3-4 at the prestigious Holy Forest Academyâ€”despite suplexing the Vice Principalâ€”all of his talents are put to the test, as this class is particularly infamous.

Due to their utter contempt for all teachers, the class' students use psychological warfare to mentally break any new homeroom teacher they get, forcing them to quit and leave school. However, Onizuka isn't your average teacher, and he's ready for any challenge in his way.

Bullying, suicide, and sexual harassment are just a few of the issues his students face daily. By tackling the roots of their problems, Onizuka supports them with his unpredictable and unconventional methodsâ€”even if it means jumping off a building to save a suicidal child. Thanks to his eccentric charm and fun-loving nature, Class 3-4 slowly learns just how enjoyable school can be when you're the pupils of the Great Teacher Onizuka.",TV,43,"Jun 30, 1999 to Sep 17, 2000",summer 1999,Finished Airing,Pierrot,Manga,25 min per ep,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/13/11460.jpg
222,Groove Adventure Rave,Rave Master,7.22,"Adventure, Comedy, Fantasy, Romance","Fifty years ago, malevolent stones known as Dark Brings brought about the ""Overdrive,"" a calamitous event that destroyed one-tenth of the world. In the present day, the nefarious organization Demon Card seeks the Dark Brings' power for their all but innocent intentions. 

Haru Glory, a sword-wielding silver-haired teenager, inherits the title of Rave Master: the person who wields the power of the legendary Rave Stones, artifacts capable of destroying the Dark Brings. However, the many Rave Stones were scattered across the globe as a result of the Overdrive, allowing Demon Card to continue their malpractices. 

Groove Adventure Rave follows Haru, his strange dog Plue, the fiery blonde Ellie, and the infamous thief Musica, as they embark on a great journey that will take them around the vast world, searching for the Rave Stones that will finally end Demon Card's injustice.",TV,51,"Oct 13, 2001 to Sep 28, 2002",fall 2001,Finished Airing,Studio Deen,Manga,24 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/9/20134.jpg
223,Harukanaru Toki no Naka de: Hachiyou Shou,Haruka: Beyond the Stream of Time â€“ A Tale of the Eight Guardians,7,"Fantasy, Romance","Akane Motomiya and her friends Tenma and Shimon are pulled by a demon into another world, where Akane becomes the Priestess of the Dragon God. The people of this world tell her that she is the only one who can stop the demons from taking over; meanwhile, the demons want to use her power for their own ends. Luckily, Akane has the Hachiyou, eight men with powers of their own who are sworn to protect the Dragon Priestess.

(Source: ANN)",TV,26,"Oct 6, 2004 to Mar 30, 2005",fall 2004,Finished Airing,Yumeta Company,Visual novel,24 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/7/7227.jpg
224,Ichigo 100%,Strawberry 100%,6.63,"Comedy, Romance, Ecchi","One day, Manaka Junpei walks to the roof of his school and encounters a beautiful girl falling down from above him and accidentally exposing her strawberry panties. The embarrassed girl runs away before Junpei can find out whom she is. He wishes to become a filmmaker, and this whole experience seemed like it would make the perfect scene in a movie. And so he goes on a search for the girl with the strawberry panties in order to reenact it all on film. But he will soon discover that finding that one girl will not be that easy... 

(Source: ANN)",TV,12,"Apr 6, 2005 to Jun 22, 2005",spring 2005,Finished Airing,Madhouse,Manga,23 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1157/132580.jpg
225,InuYasha,InuYasha,7.86,"Action, Adventure, Fantasy, Romance","Kagome Higurashi's 15th birthday takes a sudden turn when she is forcefully pulled by a demon into the old well of her family's shrine. Brought to the past, when demons were a common sight in feudal Japan, Kagome finds herself persistently hunted by these vile creatures, all yearning for an item she unknowingly carries: the Shikon Jewel, a small sphere holding extraordinary power. 

Amid such a predicament, Kagome encounters a half-demon boy named Inuyasha who mistakes her for Kikyou, a shrine maiden he seems to resent. Because of her resemblance to Kikyou, Inuyasha takes a violent dislike to Kagome. However, after realizing the dire circumstances they are both in, he sets aside his hostility and lends her a hand. 

Unfortunately, during a fight for the Shikon Jewel, the miraculous object ends up shattered into pieces and scattered across the land. Fearing the disastrous consequences of this accident, Kagome and Inuyasha set out on a challenging quest to recover the shards before they fall into the wrong hands.",TV,167,"Oct 16, 2000 to Sep 13, 2004",fall 2000,Finished Airing,Sunrise,Manga,24 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1589/95329.jpg
226,Konjiki no Gash Bell!!,Zatch Bell!,7.54,"Adventure, Comedy, Supernatural","Takamine Kiyomaro, a depressed don't-care-about-the-world guy, was suddenly given a little demon named Gash Bell to take care of. Little does he know that Gash is embroiled into an intense fight to see who is the ruler of the demon world. All of the demons have to pick a master on Earth and duke it out with other demons until one survives. Needless to say, Kiyomaro becomes Gash's master, and through their many battles, Kiyomaro learns the importance of friendship and courage.",TV,150,"Apr 6, 2003 to Mar 26, 2006",spring 2003,Finished Airing,Toei Animation,Manga,23 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1151/125951.jpg
227,Kyou kara Maou!,UNKNOWN,7.63,"Adventure, Comedy, Fantasy","Kyou kara Maou! revolves around Yuri Shibuya, your average Japanese teenager. One day, Yuri sees a classmate being harassed by bullies. Thanks to this intervention, his friend is able to escape, but unfortunately Yuri becomes the new target of the bullies in the process and gets his head shoved into a toilet. But instead of water, the toilet contains a swirling portal that sucks him into another world, largely resembling medieval Europe. There, he is told that he will become the next Demon King due to his black hair and black eyes, traits only possessed by the demon's royal lineage.

Yuri's arrival is met with some skepticism by some of the demons, who view him as unworthy to be their king. However, after Yuri wins a duel by utilizing his magical powers, the demons slowly begin to acknowledge him as their monarch. Yuri must now learn what it takes be a true Demon King, as he tries to keep the peace between demons and humans in this strange new realm.",TV,78,"Apr 3, 2004 to Feb 25, 2006",spring 2004,Finished Airing,Studio Deen,Light novel,25 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/11/75544.jpg
228,Madlax,UNKNOWN,7.03,"Drama, Mystery, Supernatural","In the country of Gazth-Sonika, civil war rages. There, a mercenary called Madlax plies her trade, with almost supernatural skill. In the seemingly peaceful country of Nafrece, Margaret Burton lives a tranquil life. As separate as their lives may seem, the two are connected by ties of mystery, and by a holy book that is also sought by the shadowy organisation, Enfant. As Margaret and Madlax follow the path of their destiny, they come ever closer to uncovering the truth - with no guarantee that it is a truth they can bear to learn.

(Source: ANN)",TV,26,"Apr 6, 2004 to Sep 28, 2004",spring 2004,Finished Airing,Bee Train,Original,24 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/12/57237.jpg
229,Jungle wa Itsumo Hare nochi Guu,HarÃ©+Guu,7.81,"Comedy, Slice of Life","HarÃ© was a happy boy living out his days in the jungle with his mother, but then one day Guu showed up and became a member of their household. Throughout the series he faces many hardships as he tries to keep Guu out of trouble in the jungle.

(Source: ANN)",TV,26,"Apr 3, 2001 to Sep 25, 2001",spring 2001,Finished Airing,Shin-Ei Animation,Manga,23 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/10/24555.jpg
230,Jungle wa Itsumo Hare nochi Guu Deluxe,HarÃ©+Guu Deluxe,7.79,"Comedy, Slice of Life","After the events in the city, HarÃ© and family come back to the Jungle. But it is never calm for HarÃ© as he first must deal with an unstable substitute teacher, then with some big news: Weda is pregnant. The answer to how and who will change his family forever. Poor HarÃ©, now has to deal with a father in addition to his drunk mother and Guu, and soon a sibling too.

(Source: ANN)",OVA,6,"Aug 25, 2002 to Jan 25, 2003",UNKNOWN,Finished Airing,Shin-Ei Animation,Manga,26 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/3/10306.jpg
231,Jungle wa Itsumo Hare nochi Guu Final,UNKNOWN,7.62,"Award Winning, Comedy, Slice of Life","HarÃ©'s family receives a video letter from Weda's home in the city. Witnessing how sad and lonely Weda's mother and Bel are without her, Weda decides to take HarÃ© and Guu back to the city for a while. After HarÃ© complains about being bored and lonely without his friends in the jungle (as part of his plot to persuade his mother to take him back), Weda decides to send him to a private school in the city, where he instanly falls in love with a pretty girl named Rita. But, of course, Guu wants part of the action too.

(Source: ANN)",OVA,7,"Dec 21, 2003 to Jun 25, 2004",UNKNOWN,Finished Airing,Shin-Ei Animation,Manga,26 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/6/14520.jpg
